"M","lambda","numSubgroups","meanOver","meanDiss","lambdaOverM","overFitCurve"
40,0,1,0.594200968013381,0.12690360028274,0,0
120,0,1,0.613346524108106,0.119439375379158,0,0
200,0,1,0.594818021759795,0.106414154432525,0,0
40,50,1,0.949238195950317,0.0390029343139596,1.25,0.71349520313981
120,50,1,0.764291213526125,0.106141951994599,0.416666666666667,0.340759369799556
200,50,1,0.684337481299069,0.111276257448074,0.25,0.221199216928595
40,100,1,0.990344022581057,0.00982333168966444,2.5,0.917915001376101
120,100,1,0.928114162762646,0.0565540692145916,0.833333333333333,0.565401791492922
200,100,1,0.812381776732918,0.0953693081319163,0.5,0.393469340287367
40,150,1,0.999992197518981,0.00216552781740013,3.75,0.976482254143991
120,150,1,0.976539207363504,0.0212363016567957,1.25,0.71349520313981
200,150,1,0.881956332162203,0.0693000645331597,0.75,0.527633447258985
40,200,1,1,0,5,0.993262053000915
120,200,1,0.968520607932236,0.0276746313646474,1.66666666666667,0.811124397162438
200,200,1,0.899798400960519,0.0674683739615476,1,0.632120558828558
40,0,2,0.576624137785832,0.179237895553073,0,0
120,0,2,0.560470216938209,0.168722064028325,0,0
200,0,2,0.588293554097863,0.224950319951767,0,0
40,50,2,0.885334771752452,0.200403830183507,1.25,0.71349520313981
120,50,2,0.733692044421808,0.184498835610888,0.416666666666667,0.340759369799556
200,50,2,0.695136211002329,0.206995337848348,0.25,0.221199216928595
40,100,2,0.966659004561051,0.183164186894717,2.5,0.917915001376101
120,100,2,0.849482630315688,0.20390314174387,0.833333333333333,0.565401791492922
200,100,2,0.786013100324867,0.20850735416861,0.5,0.393469340287367
40,150,2,0.954813157420981,0.19430781217659,3.75,0.976482254143991
120,150,2,0.879078734115485,0.186338537401769,1.25,0.71349520313981
200,150,2,0.824438305127104,0.205436737521977,0.75,0.527633447258985
40,200,2,0.955138985549302,0.20452283640918,5,0.993262053000915
120,200,2,0.938771497201972,0.137611467637347,1.66666666666667,0.811124397162438
200,200,2,0.915591437674883,0.174351432520189,1,0.632120558828558
40,0,3,0.582890702877076,0.200981207885459,0,0
120,0,3,0.567118823643261,0.24977539555755,0,0
200,0,3,0.570393055675348,0.232719827873226,0,0
40,50,3,0.910424733581301,0.253252727683282,1.25,0.71349520313981
120,50,3,0.752120111479883,0.238323481014869,0.416666666666667,0.340759369799556
200,50,3,0.711533200437726,0.225492074456294,0.25,0.221199216928595
40,100,3,0.935790465823302,0.233631052191215,2.5,0.917915001376101
120,100,3,0.826316334333178,0.24623813507934,0.833333333333333,0.565401791492922
200,100,3,0.756250291282437,0.234959076759038,0.5,0.393469340287367
40,150,3,0.962924712438976,0.212318217569102,3.75,0.976482254143991
120,150,3,0.865919784698696,0.227358028347174,1.25,0.71349520313981
200,150,3,0.786211295621228,0.22233431932682,0.75,0.527633447258985
40,200,3,0.909004066745313,0.165802607348533,5,0.993262053000915
120,200,3,0.885869719935592,0.200695007698252,1.66666666666667,0.811124397162438
200,200,3,0.867396002116307,0.226176704474094,1,0.632120558828558
40,0,5,0.568386403686509,0.256119768972044,0,0
120,0,5,0.589638472616483,0.241654058639141,0,0
200,0,5,0.598003841137333,0.253358274993763,0,0
40,50,5,0.853042875743673,0.246124157612431,1.25,0.71349520313981
120,50,5,0.730353194355544,0.249636051276409,0.416666666666667,0.340759369799556
200,50,5,0.680074988510954,0.26164799983055,0.25,0.221199216928595
40,100,5,0.88555096200126,0.241475683814521,2.5,0.917915001376101
120,100,5,0.831292443591377,0.226499850453755,0.833333333333333,0.565401791492922
200,100,5,0.790928946525871,0.252209070868776,0.5,0.393469340287367
40,150,5,0.9164274285506,0.251150239577612,3.75,0.976482254143991
120,150,5,0.884868077373625,0.262935627440547,1.25,0.71349520313981
200,150,5,0.821415973436116,0.271837606666947,0.75,0.527633447258985
40,200,5,0.943732498546423,0.266424316635343,5,0.993262053000915
120,200,5,0.886211951900489,0.264588456860365,1.66666666666667,0.811124397162438
200,200,5,0.780054755256454,0.253280365519404,1,0.632120558828558
40,0,10,0.564329368522454,0.256705212297551,0,0
120,0,10,0.583438007492653,0.268680265528198,0,0
200,0,10,0.567726373016825,0.316567310028346,0,0
40,50,10,0.831862983310316,0.309698132026686,1.25,0.71349520313981
120,50,10,0.738420772068471,0.278169878193758,0.416666666666667,0.340759369799556
200,50,10,0.686843861441584,0.276003067653232,0.25,0.221199216928595
40,100,10,0.93392847649995,0.271377760359467,2.5,0.917915001376101
120,100,10,0.83804756935435,0.269765668866593,0.833333333333333,0.565401791492922
200,100,10,0.729450476370616,0.275977159646109,0.5,0.393469340287367
40,150,10,0.935972622813008,0.290510333592204,3.75,0.976482254143991
120,150,10,0.852399449707075,0.279017348203863,1.25,0.71349520313981
200,150,10,0.79397324717965,0.282573532772663,0.75,0.527633447258985
40,200,10,0.906463014223549,0.292480254109384,5,0.993262053000915
120,200,10,0.895477702937015,0.293670680576876,1.66666666666667,0.811124397162438
200,200,10,0.800522369665747,0.250310173159226,1,0.632120558828558
