"M","lambda","meanOrder","meanOver","lambdaOverM","fitCurve"
40,0,0,0.536398955222384,0,0
120,0,0,0.600461181639775,0,0
200,0,0,0.61286673047914,0,0
40,50,0,0.598977882933626,1.25,0.71349520313981
120,50,0,0.571715529008839,0.416666666666667,0.340759369799556
200,50,0,0.58617218716194,0.25,0.221199216928595
40,100,0,0.596376806397976,2.5,0.917915001376101
120,100,0,0.613476581849867,0.833333333333333,0.565401791492922
200,100,0,0.594134832928298,0.5,0.393469340287367
40,150,0,0.593771978239291,3.75,0.976482254143991
120,150,0,0.617765779286101,1.25,0.71349520313981
200,150,0,0.629737799523712,0.75,0.527633447258985
40,200,0,0.539339827674439,5,0.993262053000915
120,200,0,0.585989655275451,1.66666666666667,0.811124397162438
200,200,0,0.5546964859914,1,0.632120558828558
40,0,0.25,0.615885828866857,0,0
120,0,0.25,0.603942024009865,0,0
200,0,0.25,0.604873510440422,0,0
40,50,0.25,0.629675180292829,1.25,0.71349520313981
120,50,0.25,0.605036283186928,0.416666666666667,0.340759369799556
200,50,0.25,0.633304904193617,0.25,0.221199216928595
40,100,0.25,0.65496170613864,2.5,0.917915001376101
120,100,0.25,0.680088894522574,0.833333333333333,0.565401791492922
200,100,0.25,0.641416846337487,0.5,0.393469340287367
40,150,0.25,0.60950778711741,3.75,0.976482254143991
120,150,0.25,0.670437899375486,1.25,0.71349520313981
200,150,0.25,0.635005126918336,0.75,0.527633447258985
40,200,0.25,0.630296370001249,5,0.993262053000915
120,200,0.25,0.682667037486162,1.66666666666667,0.811124397162438
200,200,0.25,0.669127108933002,1,0.632120558828558
40,0,0.5,0.614530946079175,0,0
120,0,0.5,0.606686162073412,0,0
200,0,0.5,0.607915623568807,0,0
40,50,0.5,0.722761762500325,1.25,0.71349520313981
120,50,0.5,0.691410348206415,0.416666666666667,0.340759369799556
200,50,0.5,0.642131101662052,0.25,0.221199216928595
40,100,0.5,0.764418969694465,2.5,0.917915001376101
120,100,0.5,0.712865721309809,0.833333333333333,0.565401791492922
200,100,0.5,0.687608312481581,0.5,0.393469340287367
40,150,0.5,0.706510383270148,3.75,0.976482254143991
120,150,0.5,0.712471966720953,1.25,0.71349520313981
200,150,0.5,0.700597763922366,0.75,0.527633447258985
40,200,0.5,0.764049348877526,5,0.993262053000915
120,200,0.5,0.705423314594332,1.66666666666667,0.811124397162438
200,200,0.5,0.671897937044764,1,0.632120558828558
40,0,0.75,0.532686547867544,0,0
